8.209.64.31:443    | 64.252.88.152  | DE | 254ms | CloudFront | 2023-08-17 00:03:00
8.209.64.139:443   | 64.252.88.152  | DE | 249ms | CloudFront | 2023-08-17 00:03:10
8.209.67.184:443   | 64.252.88.152  | DE | 280ms | CloudFront | 2023-08-17 00:03:10
8.209.67.239:443   | 64.252.88.152  | DE | 254ms | CloudFront | 2023-08-17 00:03:11
8.209.82.162:443   | 64.252.88.152  | DE | 260ms | CloudFront | 2023-08-17 00:03:11
8.209.83.103:443   | 64.252.88.152  | DE | 245ms | CloudFront | 2023-08-17 00:03:11
8.209.76.152:443   | 64.252.88.152  | DE | 284ms | CloudFront | 2023-08-17 00:03:12
8.209.88.68:443    | 64.252.88.152  | DE | 276ms | CloudFront | 2023-08-17 00:03:12
8.209.64.139:443   | 64.252.88.152  | DE | 247ms | CloudFront | 2023-08-17 00:03:13
8.209.65.230:443   | 64.252.66.189  | DE | 337ms | CloudFront | 2023-08-17 00:03:14
8.209.66.242:443   | 64.252.88.152  | DE | 460ms | CloudFront | 2023-08-17 00:03:14
8.209.64.31:443    | 64.252.88.152  | DE | 254ms | CloudFront | 2023-08-17 00:03:15
8.209.67.239:443   | 64.252.88.152  | DE | 254ms | CloudFront | 2023-08-17 00:03:15
8.209.67.184:443   | 64.252.88.152  | DE | 280ms | CloudFront | 2023-08-17 00:03:15
8.209.76.152:443   | 64.252.88.152  | DE | 283ms | CloudFront | 2023-08-17 00:03:15
8.209.82.162:443   | 64.252.88.152  | DE | 260ms | CloudFront | 2023-08-17 00:03:17
8.209.83.103:443   | 64.252.88.152  | DE | 245ms | CloudFront | 2023-08-17 00:03:18
8.209.85.146:443   | 64.252.88.152  | DE | 434ms | CloudFront | 2023-08-17 00:03:19
8.209.101.174:443  | 64.252.88.152  | DE | 272ms | CloudFront | 2023-08-17 00:03:20
8.209.88.68:443    | 64.252.88.152  | DE | 276ms | CloudFront | 2023-08-17 00:03:20
8.209.102.103:443  | 64.252.88.152  | DE | 258ms | CloudFront | 2023-08-17 00:03:24
8.209.103.47:443   | 64.252.88.152  | DE | 255ms | CloudFront | 2023-08-17 00:03:25
8.209.106.144:443  | 64.252.88.152  | DE | 248ms | CloudFront | 2023-08-17 00:03:27
8.209.111.124:443  | 64.252.88.152  | DE | 282ms | CloudFront | 2023-08-17 00:03:28
8.209.112.220:443  | 64.252.88.152  | DE | 292ms | CloudFront | 2023-08-17 00:03:29
8.209.119.167:443  | 64.252.88.152  | DE | 256ms | CloudFront | 2023-08-17 00:03:30
8.209.112.220:443  | 64.252.88.152  | DE | 289ms | CloudFront | 2023-08-17 00:03:32
8.209.101.174:443  | 64.252.88.152  | DE | 271ms | CloudFront | 2023-08-17 00:03:33
8.209.106.144:443  | 64.252.88.152  | DE | 251ms | CloudFront | 2023-08-17 00:03:34
8.209.103.47:443   | 64.252.88.152  | DE | 255ms | CloudFront | 2023-08-17 00:03:34
8.209.110.210:443  | 64.252.88.152  | DE | 278ms | CloudFront | 2023-08-17 00:03:36
8.209.110.130:443  | 64.252.88.152  | DE | 0ms | CloudFront | 2023-08-17 00:03:37
8.209.115.218:443  | 64.252.88.152  | DE | 284ms | CloudFront | 2023-08-17 00:03:37
8.209.119.167:443  | 64.252.88.152  | DE | 253ms | CloudFront | 2023-08-17 00:03:37
8.209.116.145:443  | 64.252.88.152  | DE | 0ms | CloudFront | 2023-08-17 00:03:37
8.209.117.52:443   | 64.252.88.152  | DE | 258ms | CloudFront | 2023-08-17 00:03:38
8.209.111.124:443  | 64.252.88.152  | DE | 284ms | CloudFront | 2023-08-17 00:03:38
8.211.2.218:443    | 64.252.88.152  | DE | 275ms | CloudFront | 2023-08-17 00:07:05
8.211.2.218:443    | 64.252.88.152  | DE | 285ms | CloudFront | 2023-08-17 00:07:16
47.245.177.99:443  | 64.252.88.152  | DE | 448ms | CloudFront | 2023-08-17 00:45:12
47.245.178.134:443 | 64.252.88.152  | DE | 257ms | CloudFront | 2023-08-17 00:45:16
47.245.178.134:443 | 64.252.88.152  | DE | 257ms | CloudFront | 2023-08-17 00:45:18
47.245.177.99:443  | 64.252.88.152  | DE | 449ms | CloudFront | 2023-08-17 00:45:19
47.254.128.48:443  | 64.252.88.152  | DE | 259ms | CloudFront | 2023-08-17 00:49:46
47.254.143.170:443 | 64.252.88.152  | DE | 0ms | CloudFront | 2023-08-17 00:49:50
47.254.131.138:443 | 64.252.88.152  | DE | 0ms | CloudFront | 2023-08-17 00:49:53
47.254.130.145:443 | 64.252.88.152  | DE | 283ms | CloudFront | 2023-08-17 00:49:53
47.254.146.227:443 | 64.252.88.152  | DE | 255ms | CloudFront | 2023-08-17 00:49:54
47.254.155.4:443   | 64.252.88.152  | DE | 259ms | CloudFront | 2023-08-17 00:49:56
47.254.149.167:443 | 64.252.88.152  | DE | 390ms | CloudFront | 2023-08-17 00:49:57
47.254.155.140:443 | 64.252.88.152  | DE | 270ms | CloudFront | 2023-08-17 00:49:58
