140.238.76.93:443  | 64.252.84.127  | GB | 289ms | CloudFront | 2023-08-17 02:58:33
140.238.68.120:443 | 64.252.84.127  | GB | 479ms | CloudFront | 2023-08-17 02:58:36
140.238.73.123:443 | 64.252.84.127  | GB | 267ms | CloudFront | 2023-08-17 02:58:37
140.238.90.119:443 | 64.252.84.127  | GB | 245ms | CloudFront | 2023-08-17 02:58:37
140.238.90.119:443 | 64.252.84.127  | GB | 245ms | CloudFront | 2023-08-17 02:58:37
140.238.90.231:443 | 64.252.84.127  | GB | 379ms | CloudFront | 2023-08-17 02:58:38
140.238.97.80:443  | 64.252.84.127  | GB | 268ms | CloudFront | 2023-08-17 02:58:38
140.238.75.139:443 | 64.252.84.127  | GB | 249ms | CloudFront | 2023-08-17 02:58:39
140.238.75.195:443 | 64.252.84.127  | GB | 249ms | CloudFront | 2023-08-17 02:58:39
140.238.98.15:443  | 64.252.84.127  | GB | 244ms | CloudFront | 2023-08-17 02:58:40
140.238.90.231:443 | 64.252.84.127  | GB | 398ms | CloudFront | 2023-08-17 02:58:41
140.238.73.10:443  | 64.252.84.127  | GB | 276ms | CloudFront | 2023-08-17 02:58:41
140.238.87.147:443 | 64.252.84.127  | GB | 270ms | CloudFront | 2023-08-17 02:58:42
140.238.100.71:443 | 64.252.84.127  | GB | 243ms | CloudFront | 2023-08-17 02:58:42
140.238.103.15:443 | 64.252.84.127  | GB | 268ms | CloudFront | 2023-08-17 02:58:42
140.238.99.254:443 | 64.252.114.200 | GB | 0ms | CloudFront | 2023-08-17 02:58:43
140.238.71.147:443 | 64.252.84.127  | GB | 275ms | CloudFront | 2023-08-17 02:58:43
140.238.103.15:443 | 64.252.84.127  | GB | 268ms | CloudFront | 2023-08-17 02:58:43
140.238.96.220:443 | 64.252.84.127  | GB | 268ms | CloudFront | 2023-08-17 02:58:43
140.238.102.16:443 | 64.252.84.127  | GB | 268ms | CloudFront | 2023-08-17 02:58:43
140.238.101.135:443 | 64.252.84.127  | GB | 419ms | CloudFront | 2023-08-17 02:58:43
140.238.96.116:443 | 64.252.84.127  | GB | 496ms | CloudFront | 2023-08-17 02:58:43
140.238.103.15:443 | 64.252.84.127  | GB | 268ms | CloudFront | 2023-08-17 02:58:43
140.238.102.23:443 | 64.252.84.127  | GB | 393ms | CloudFront | 2023-08-17 02:58:46
141.147.65.167:443 | 64.252.84.127  | GB | 268ms | CloudFront | 2023-08-17 02:59:26
141.147.77.141:443 | 64.252.88.152  | GB | 251ms | CloudFront | 2023-08-17 02:59:28
141.147.89.118:443 | 64.252.84.127  | GB | 246ms | CloudFront | 2023-08-17 02:59:28
141.147.88.224:443 | 64.252.84.127  | GB | 272ms | CloudFront | 2023-08-17 02:59:29
141.147.93.110:443 | 64.252.84.127  | GB | 245ms | CloudFront | 2023-08-17 02:59:29
141.147.89.84:443  | 64.252.84.127  | GB | 0ms | CloudFront | 2023-08-17 02:59:29
141.147.85.72:443  | 64.252.84.127  | GB | 253ms | CloudFront | 2023-08-17 02:59:29
141.147.73.166:443 | 64.252.84.127  | GB | 274ms | CloudFront | 2023-08-17 02:59:29
141.147.72.26:443  | 64.252.84.127  | GB | 246ms | CloudFront | 2023-08-17 02:59:30
141.147.72.85:443  | 64.252.114.200 | GB | 276ms | CloudFront | 2023-08-17 02:59:30
141.147.99.17:443  | 64.252.84.127  | GB | 241ms | CloudFront | 2023-08-17 02:59:30
141.147.68.200:443 | 64.252.84.127  | GB | 510ms | CloudFront | 2023-08-17 02:59:30
141.147.92.146:443 | 64.252.84.127  | GB | 527ms | CloudFront | 2023-08-17 02:59:31
141.147.113.78:443 | 64.252.84.127  | GB | 301ms | CloudFront | 2023-08-17 02:59:33
141.147.90.151:443 | 64.252.84.127  | GB | 0ms | CloudFront | 2023-08-17 02:59:35
141.147.99.144:443 | 64.252.84.127  | GB | 269ms | CloudFront | 2023-08-17 02:59:36
141.147.86.188:443 | 64.252.84.127  | GB | 270ms | CloudFront | 2023-08-17 02:59:36
141.147.116.204:443 | 64.252.84.127  | GB | 483ms | CloudFront | 2023-08-17 02:59:38
141.147.113.164:443 | 64.252.84.127  | GB | 300ms | CloudFront | 2023-08-17 02:59:43
143.47.231.52:443  | 64.252.114.200 | GB | 280ms | CloudFront | 2023-08-17 03:00:16
143.47.233.34:443  | 64.252.84.127  | GB | 247ms | CloudFront | 2023-08-17 03:00:17
143.47.232.28:443  | 64.252.84.127  | GB | 490ms | CloudFront | 2023-08-17 03:00:17
143.47.246.6:443   | 64.252.84.127  | GB | 249ms | CloudFront | 2023-08-17 03:00:18
143.47.226.170:443 | 64.252.84.127  | GB | 269ms | CloudFront | 2023-08-17 03:00:18
143.47.241.236:443 | 64.252.114.200 | GB | 496ms | CloudFront | 2023-08-17 03:00:19
143.47.246.66:443  | 64.252.84.127  | GB | 511ms | CloudFront | 2023-08-17 03:00:20
144.21.51.36:443   | 64.252.84.127  | GB | 270ms | CloudFront | 2023-08-17 03:00:20
144.21.53.147:443  | 64.252.84.127  | GB | 268ms | CloudFront | 2023-08-17 03:00:21
144.21.63.75:443   | 64.252.84.127  | GB | 301ms | CloudFront | 2023-08-17 03:00:22
144.21.54.236:443  | 64.252.84.127  | GB | 246ms | CloudFront | 2023-08-17 03:00:24
